tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
597090,3,Tender Notice_PDFs/RAJUK_Tender_597090.pdf,1,eligibility,Eligibility of Tenderer,(5) years (Years/Date counting backward from the date of publication of IFT in the e-GP system) with a value of at least Tk. 9.00 (Nine) Crore only Government/ Semi-Government/ Autonomous Bodies /Private within Bangladesh. The issued Private Certificate must be authenticated (verified) by the Executive Engineer of PWD within his jurisdiction. c) The minimum amount of Liquid Assets or Working Capital or Letter of Commitment for Bank’s Undertaking for line of Credit as per Form PG3-8 of Tender and Contract Forms must be submitted for this Purpose of the successful Tenderer shall not be less than Tk. 10.00 Crore only. The Supporting Bank Document submitted along with the Tender must be issued in between Publication date & Submission date of the Tender. d) Supplier/Tenderer must have up-to-date ABC category Contractory License (License must be issued in favour of his own organization) & Electrical Supervisory Certificate from Bangladesh Electrical Licensing Board.,974,financial_liquid;personnel;cert_other;geographic;cert_licence_class,no,90000000.00;100000000.00;90000000.00;100000000.00,Tk. 9.00 (Nine) Crore | Tk. 10.00 Crore | 9.00 (Nine) Crore | 10.00 Crore,Nine |  | Nine | ,crore,"the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against | the digits and the words agree, so the scale word is applied to them | the scale word was applied to the digits; no amount in words is printed beside them to check it against",,5,,
601508,1,Tender Notice_PDFs/RAJUK_Tender_601508.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
601511,1,Tender Notice_PDFs/RAJUK_Tender_601511.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
601512,1,Tender Notice_PDFs/RAJUK_Tender_601512.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
601514,1,Tender Notice_PDFs/RAJUK_Tender_601514.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
601516,1,Tender Notice_PDFs/RAJUK_Tender_601516.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
601518,1,Tender Notice_PDFs/RAJUK_Tender_601518.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
601519,1,Tender Notice_PDFs/RAJUK_Tender_601519.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
601520,1,Tender Notice_PDFs/RAJUK_Tender_601520.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
608564,1,Tender Notice_PDFs/RAJUK_Tender_608564.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
608964,1,Tender Notice_PDFs/RAJUK_Tender_608964.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
609656,1,Tender Notice_PDFs/RAJUK_Tender_609656.pdf,1,eligibility,Eligibility of Tenderer,As per TDS.,11,deferred,yes,,,,,,,,,
614373,1,Tender Notice_PDFs/RAJUK_Tender_614373.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
614620,1,Tender Notice_PDFs/RAJUK_Tender_614620.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
615021,1,Tender Notice_PDFs/RAJUK_Tender_615021.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
